Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa,NPofB20
STORM,12,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9455385363481643
STORM,13,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,96.846,0.954,1.000,0.970,0.928,0.9463291139240506
STORM,13,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,38.094,0.915,0.068,0.937,0.039,0.7640506329113924
STORM,13,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,96.830,0.954,1.000,0.954,0.928,0.9460759493670886
STORM,14,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.967,1.000,1.000,1.000,0.999,0.9262067222643416
STORM,14,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,37.660,0.919,0.060,0.965,0.035,0.7194844579226687
STORM,14,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.967,1.000,1.000,1.000,0.999,0.9287338893100834
STORM,15,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,77.850,0.664,0.998,0.938,0.574,0.9297112462006079
STORM,15,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,57.505,0.665,0.056,0.904,0.038,0.848404255319149
STORM,15,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,77.850,0.664,0.998,0.803,0.574,0.9240121580547113
STORM,16,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.983,1.000,1.000,1.000,1.000,0.9601063829787234
STORM,16,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,57.704,0.711,0.054,0.955,0.041,0.925531914893617
STORM,16,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.993161094224924
STORM,17,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,98.858,0.974,1.000,0.986,0.977,0.9789719626168224
STORM,17,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,58.576,0.712,0.045,0.960,0.036,0.9403973509933775
STORM,17,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,98.858,0.974,1.000,0.990,0.977,0.991822429906542
STORM,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,99.747,1.000,0.993,0.997,0.995,0.9802631578947368
STORM,1,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000,0.9846491228070176
STORM,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,56.078,1.000,0.024,0.512,0.026,0.8135048231511254
STORM,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,99.711,1.000,0.994,0.997,0.994,0.9421221864951769
STORM,2,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000,0.9437299035369775
STORM,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,42.923,1.000,0.225,0.612,0.133,0.21064400715563505
STORM,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,76.366,0.999,0.680,0.839,0.527,0.6453488372093024
STORM,3,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,76.333,1.000,0.678,0.839,0.527,0.6435599284436494
