Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,96.855,0.167,1.000,1.000,0.278
BOOKKEEPER,2,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,98.742,0.333,1.000,0.994,0.495
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,94.792,0.167,1.000,1.000,0.273
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,28.125,0.014,1.000,0.800,0.008
BOOKKEEPER,3,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,98.958,0.500,1.000,0.995,0.662
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,89.286,0.250,1.000,1.000,0.364
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,7.143,0.037,1.000,0.963,0.003
BOOKKEEPER,4,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,78.761,0.040,1.000,1.000,0.061
BOOKKEEPER,5,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,99.115,0.500,1.000,0.996,0.663
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,98.742,0.333,1.000,0.994,0.495
BOOKKEEPER,2,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,98.742,0.333,1.000,0.994,0.495
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,41.667,0.018,1.000,0.705,0.014
BOOKKEEPER,3,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,98.958,0.500,1.000,0.995,0.662
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,10.714,0.038,1.000,0.537,0.006
BOOKKEEPER,4,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,92.035,0.100,1.000,0.960,0.168
BOOKKEEPER,5,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,99.115,0.500,1.000,0.996,0.663
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,80.000,0.500,1.000,0.875,0.545
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,98.742,0.333,1.000,1.000,0.495
BOOKKEEPER,2,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,98.742,0.333,1.000,0.994,0.495
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,36.458,0.016,1.000,0.705,0.011
BOOKKEEPER,3,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,98.958,0.500,1.000,0.995,0.662
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,10.714,0.038,1.000,0.852,0.006
BOOKKEEPER,4,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,90.265,0.083,1.000,1.000,0.140
BOOKKEEPER,5,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,99.115,0.500,1.000,0.996,0.663
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,40.000,0.250,1.000,1.000,0.118
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
